Ticker,Company Name,Electricity Usage (MWh),CO2 Emissions (Metric Tons),Water Usage (Cubic Meters),Revenue (USD),Profit (USD)
TTWO,Take-Two Interactive,66360,353596,12000,6656400000,-298200000
TPR,Tapestry,95076,6607,3476784,7010000000,-180000000
TRGP,Targa Resources,8500000,14162000,14510477,17028300000,1923000000
TGT,Target Corporation,3500000,6114164,15000000,104780000000,3705000000
TEL,TE Connectivity,1200000,250000,3500000,17262000000,1842000000
TDY,Teledyne Technologies,257597.58,110941,912284,6115400000,894800000
TFX,Teleflex,125000,55000,410031,3047300000,69675000
TER,Teradyne,125000,55000,350000,3190000000,554050000
TSLA,Tesla,3832267,1057000,5447800,94827000000,3794000000
TXN,Texas Instruments,4289877,2500000,20000000,17680000000,5000000000
TXT,Textron,500000,397839,1500000,14799000000,923000000
TMO,Thermo Fisher Scientific,2844775,7623193,14000000,44556000000,6704000000
TJX,TJX Companies,1200000,540000,1500000,60400000000,5500000000
TSCO,Tractor Supply,300000,301000,1307432,15520000000,1100000000
TT,Trane Technologies,894647,182511,1517000,21300000000,2920000000
TDG,TransDigm Group,236128,130022,529710,8831000000,2074000000
TRV,Travelers Companies (The),75000,38551,250000,48830000000,6288000000
TRMB,Trimble Inc.,41077,180546,15000,3587300000,424000000
TFC,Truist,350000,132394,1200000,20319000000,5307000000
TYL,Tyler Technologies,12639,7196,45000,2328700000,315600000
TSN,Tyson Foods,5000000,5760000,150000000,54441000000,507000000
USB,U.S. Bank,594475,44382,750000,28700000000,7570000000
UDR,UDR,198000,75000,9400000,1710000000,377700000
ULTA,Ulta Beauty,393161,136998,150000,12390000000,1153500000
UNP,Union Pacific Corporation,180000,9286290,1460000,24510000000,7138000000
UAL,United Airlines Holdings,496215,39976609,1434670,59070000000,3400000000
UPS,United Parcel Service,1250000,25771000,4500000,88661000000,5572000000
URI,United Rentals,120000,589000,450000,16099000000,2494000000
UNH,UnitedHealth Group,1437092,458770,50000,400278000000,14405000000
UHS,Universal Health Services,180000,90000,3500000,17400000000,1450000000
VLO,Valero Energy,14500000,29300000,164600000,122687000000,2348000000
VTR,Ventas,125000,403647,1500000,2393100000,261500000
VRSN,Verisign,120000,50000,200000,1656600000,825700000
VRSK,Verisk,8054.93,4792.0,15000.0,3072700000.0,908300000.0
VZ,Verizon,11388888,1000000,3500000,138191000000,17608000000
VRTX,Vertex Pharmaceuticals,50000,13574,188400,12000000000,4000000000
VFC,VF Corporation,180953,71130,71728706,9610000000,577000000
VTRS,Viatris,1925000,751600,4037000,14300000000,-3500000000
VICI,Vici Properties,5010.0,2241.8,1516834,4000000000,2800000000
V,Visa Inc.,120000,84316,150000,40000000000,20058000000
VMC,Vulcan Materials Company,4780000,900000,15000000,7941000000,1077000000
WAB,Wabtec,150000,243885,1200000,11167000000,1170000000
WBA,Walgreens Boots Alliance,1200000,1500000,3500000,147658000000,-8636000000
WMT,Walmart,18500000,14400000,35000000,713160000000,21890000000
WBD,Warner Bros. Discovery,350000,193571,1200000,37296000000,749000000
WM,Waste Management,1303000,13887000,6100000,25204000000,2708000000
WAT,Waters Corporation,65000,25000,450000,3165000000,643000000
WEC,WEC Energy Group,44059500,16737000,2443000000,9800100000,1600000000
WFC,Wells Fargo,1509777,620158,6066842,83699000000,21300000000
WELL,Welltower,1177770,450654,5678000,10838000000,936800000
WST,West Pharmaceutical Services,240000,97769,1150000,3074000000,493700000
WDC,Western Digital,1457648,793638,10000000,12919000000,9424000000
WRK,WestRock,12500000,8400000,110000000,20300000000,-1700000000
WY,Weyerhaeuser,1214511,800000,2830000,6900000000,324000000
WHR,Whirlpool Corporation,1545432,215772,2465000,15524000000,318000000
WMB,Williams Companies,5350000,15520000,100000,11950000000,2615000000
WTW,Willis Towers Watson,120000,50000,200000,9708000000,1610000000
GWW,W. W. Grainger,309000,83821,538000,17942000000,1706000000
WYNN,Wynn Resorts,465275,72827,2379538,7140000000,327334000
XEL,Xcel Energy,109401000,28000000,31654000,14669000000,2018000000
XYL,Xylem Inc.,178417,79127,2480000,9035000000,957000000
YUM,Yum! Brands,303992,162309,12000000,8214000000,1559000000
ZBRA,Zebra Technologies,50000,24175,150000,5396000000,419000000
ZBH,Zimmer Biomet,250000,113116,1500000,8232000000,705100000
ZION,Zions Bancorporation,25000,10000,150000,3400000000,899000000
ZTS,Zoetis,906361,243598,2599103,9467000000,2673000000
